id;género;edad;fecha_compra;factura;Bebida_favorita;horario;región;satisfacción
10495;M;50;20220519;74000;Caramel Macchiato;20-22;Insular;5
10496;M;59;20240301;64000;Chocolate Blanco Helado;14-16;Pacífica;1
10497;M;77;20230531;65000;Flat White;10-12;Pacífica;2
10498;F;66;20220229;115000;Mocha Latte;18-20;Insular;5
10499;M;42;20211016;87000;Latte Macchiato;20-22;Caribe;2
10500;F;70;20230718;76000;Espresso Sencillo;16-18;Insular;2
10501;M;21;20200611;73000;Americano;16-18;Andina;1
10502;F;26;20230820;58000;Chocolate Helado;16-18;Insular;4
10503;F;66;20220410;98000;Espresso Sencillo;14-16;Andina;2
10504;;18;20210927;65400;Chocolate Caliente;16-18;Pacífica;2
10505;M;20;20200522;36000;Americano;14-16;Caribe;5
10506;F;87;20240309;62000;Espresso Doble;12-14;Pacífica;1
10507;M;46;20201122;41000;Arequipe Latte;18-20;Orinoquía;5
10508;M;75;20211104;97000;Flat White;12-14;Andina;5
10509;M;77;20231008;53000;Mocha Blanco Latte;14-16;Andina;4
10510;M;55;20230710;61000;Chocolate Blanco Helado;16-18;Insular;2
10511;F;60;20240128;32000;Chocolate Blanco;18-20;Caribe;2
10512;;18;20230719;65400;Flat White;20-22;Insular;2
10513;;18;20240513;65400;Chocolate Caliente;14-16;Andina;1
10514;M;43;20231212;38000;Chocolate Blanco Helado;18-20;Orinoquía;1
10515;M;35;20230830;60000;Latte;12-14;Caribe;2
10516;M;59;20240302;75000;Latte Macchiato;16-18;Pacífica;2
10517;;18;20221226;65400;Mocha Blanco Latte;12-14;Orinoquía;3
10518;F;57;20231126;63000;Café del día;14-16;Insular;4
10519;M;48;20240625;91000;Arequipe Latte;18-20;Andina;4
10520;M;55;20220826;37000;Caramel Macchiato;14-16;Pacífica;3
10521;M;74;20221220;53000;Chocolate Blanco;10-12;Orinoquía;5
10522;;18;20220201;65400;Espresso Doble;18-20;Caribe;5
10523;M;19;20231107;35000;Café del día;18-20;Insular;4
10524;M;39;20200129;35000;Espresso Sencillo;14-16;Caribe;2
10525;M;84;20220212;52000;Chocolate Blanco;20-22;Insular;3
10526;M;57;20240703;55000;Mocha Latte;10-12;Insular;3
10527;F;30;20220513;40000;Espresso Sencillo;18-20;Andina;3
10528;F;28;20221213;46000;Chocolate Caliente;12-14;Caribe;3
10529;F;44;20231228;49000;Arequipe Latte;10-12;Andina;3
10530;M;21;20210801;40000;Caramel Macchiato;20-22;Andina;2
10531;F;44;20240517;30000;Mocha Latte;16-18;Orinoquía;1
10532;F;54;20240102;50000;Arequipe Latte;16-18;Pacífica;1
10533;M;36;20240312;47000;Espresso Macchiato;16-18;Insular;2
10534;F;67;20211212;111000;Espresso Sencillo;18-20;Insular;3
10535;;18;20220516;65400;Espresso Sencillo;14-16;Caribe;3
10536;M;52;20230805;50000;Chocolate Helado;16-18;Orinoquía;5
10537;O;41;20240226;64000;Latte;10-12;Orinoquía;1
10538;M;87;20221004;36000;Mocha Latte;12-14;Insular;2
10539;M;55;20221126;64000;Latte Macchiato;18-20;Andina;2
10540;;18;20240520;65400;Chocolate Blanco Helado;20-22;Insular;4
10541;M;22;20230813;45000;Flat White;16-18;Orinoquía;4
10542;M;49;20230901;48000;Mocha Latte;20-22;Orinoquía;4
10543;F;40;20231004;62000;Chocolate Blanco Helado;16-18;Orinoquía;1
10544;F;49;20220704;80000;Flat White;12-14;Pacífica;5
10545;;18;20211231;65400;Mocha Blanco Latte;16-18;Insular;2
10546;M;40;20230128;80000;Latte;12-14;Orinoquía;4
10547;M;38;20230823;39000;Arequipe Latte;20-22;Orinoquía;1
10548;M;26;20220917;66000;Espresso Sencillo;12-14;Orinoquía;5
10549;M;61;20231114;48000;Espresso Macchiato;20-22;Insular;1
10550;M;69;20221113;36000;Mocha Blanco Latte;18-20;Orinoquía;2
10551;M;57;20220930;30000;Espresso Doble;14-16;Orinoquía;1
10552;M;73;20230111;73000;Chocolate Caliente;20-22;Andina;1
10553;F;44;20200902;65000;Cappuccino;16-18;Caribe;1
10554;F;25;20230902;62000;Latte;14-16;Caribe;4
10555;F;37;20230830;45000;Espresso Sencillo;16-18;Insular;5
10556;F;69;20210106;49000;Cappuccino;20-22;Insular;1
10557;M;47;20231015;46000;Espresso Doble;10-12;Insular;5
10558;M;43;20240519;73000;Flat White;20-22;Caribe;5
10559;;18;20210804;65400;Chocolate Blanco;20-22;Orinoquía;2
10560;M;85;20200218;47000;Flat White;16-18;Insular;5
10561;M;32;20240425;59000;Café del día;18-20;Caribe;5
10562;M;34;20230802;41000;Caramel Macchiato;14-16;Pacífica;2
10563;F;63;20230925;35000;Arequipe Latte;12-14;Pacífica;5
10564;F;57;20230508;118000;Mocha Blanco Latte;20-22;Insular;2
10565;M;44;20211021;39000;Chocolate Blanco;18-20;Orinoquía;5
10566;F;50;20230812;74000;Americano;16-18;Andina;4
10567;F;65;20230305;37000;Chocolate Caliente;14-16;Andina;3
10568;;18;20230426;65400;Espresso Sencillo;18-20;Caribe;1
10569;M;62;20230619;48000;Latte;10-12;Insular;5
10570;;18;20211113;65400;Latte;18-20;Andina;2
10571;O;42;20211217;31000;Americano;16-18;Caribe;2
10572;M;55;20240613;93000;Chocolate Caliente;20-22;Pacífica;2
10573;;18;20220218;65400;Chocolate Helado;16-18;Pacífica;2
10574;M;56;20201114;34000;Chocolate Blanco Helado;10-12;Insular;2
10575;;18;20240621;65400;Mocha Latte;20-22;Andina;1
10576;F;73;20210424;70000;Espresso Doble;16-18;Caribe;3
10577;F;26;20210424;61000;Arequipe Latte;16-18;Pacífica;1
10578;M;58;20240318;52000;Chocolate Helado;14-16;Insular;1
10579;M;61;20221218;91000;Espresso Sencillo;18-20;Insular;4
10580;F;71;20240310;97000;Arequipe Latte;16-18;Pacífica;2
10581;M;72;20230123;80000;Café del día;14-16;Andina;3
10582;M;54;20231206;57000;Chocolate Blanco;12-14;Andina;1
10583;M;60;20210128;60000;Chocolate Caliente;12-14;Insular;5
10584;M;59;20220328;46000;Caramel Macchiato;18-20;Caribe;3
10585;F;75;20231027;102000;Arequipe Latte;20-22;Caribe;5
10586;M;79;20210413;66000;Chocolate Caliente;18-20;Andina;3
10587;M;40;20190809;52000;Americano;20-22;Caribe;3
10588;M;49;20210902;81000;Mocha Blanco Latte;14-16;Pacífica;5
10589;F;50;20230828;74000;Chocolate Caliente;16-18;Caribe;1
10590;M;63;20220129;96000;Chocolate Caliente;14-16;Pacífica;1
10591;M;28;20240215;42000;Americano;20-22;Caribe;1
10592;F;31;20210929;42000;Chocolate Helado;10-12;Caribe;5
10593;M;52;20230825;70000;Latte Macchiato;14-16;Caribe;2
10594;F;61;20220517;82000;Mocha Latte;18-20;Caribe;5
10595;F;66;20231023;63000;Cappuccino;20-22;Orinoquía;2
10596;M;44;20211223;53000;Café del día;16-18;Andina;5
10597;;18;20230930;65400;Americano;20-22;Orinoquía;5
10598;F;54;20231007;84000;Flat White;18-20;Pacífica;5
10599;M;34;20240526;36000;Cappuccino;18-20;Insular;1
10600;M;31;20230202;46000;Espresso Macchiato;16-18;Caribe;2
10601;M;27;20210228;62000;Flat White;16-18;Orinoquía;1
10602;M;63;20231129;55000;Cappuccino;12-14;Insular;4
10603;M;46;20240104;71000;Arequipe Latte;12-14;Pacífica;5
10604;M;49;20240106;40000;Caramel Macchiato;12-14;Orinoquía;5
10605;M;35;20211202;30000;Chocolate Helado;18-20;Andina;1
10606;M;61;20210528;34000;Mocha Latte;18-20;Insular;3
10607;;18;20240625;65400;Mocha Blanco Latte;16-18;Andina;2
10608;M;46;20240120;88000;Chocolate Caliente;12-14;Orinoquía;2
10609;M;59;20230208;37000;Cappuccino;16-18;Insular;5
10610;F;21;20200717;50000;Chocolate Caliente;16-18;Pacífica;4
10611;F;61;20191119;69000;Chocolate Blanco;14-16;Andina;4
10612;;18;20220406;65400;Chocolate Blanco;20-22;Orinoquía;5
10613;M;55;20210921;35000;Latte;14-16;Insular;1
10614;M;65;20191102;52000;Arequipe Latte;16-18;Insular;1
10615;F;95;20230713;32000;Latte;10-12;Insular;3
10616;F;44;20221227;79000;Flat White;10-12;Insular;1
10617;F;58;20210324;66000;Mocha Blanco Latte;18-20;Insular;2
10618;M;53;20230222;34000;Chocolate Caliente;14-16;Insular;1
10619;M;66;20240125;70000;Americano;18-20;Orinoquía;2
10620;M;66;20231204;77000;Latte;12-14;Andina;1
10621;M;76;20220615;94000;Flat White;14-16;Insular;3
10622;F;52;20210731;84000;Chocolate Blanco Helado;10-12;Orinoquía;2
10623;M;42;20240422;86000;Espresso Sencillo;14-16;Orinoquía;5
10624;M;39;20240722;49000;Espresso Macchiato;10-12;Pacífica;1
10625;F;57;20220415;106000;Espresso Macchiato;20-22;Andina;4
10626;M;68;20200429;51000;Chocolate Blanco Helado;16-18;Pacífica;3
10627;F;30;20240606;31000;Chocolate Helado;16-18;Orinoquía;3
10628;M;18;20231205;53000;Caramel Macchiato;12-14;Insular;2
10629;M;52;20231005;111000;Mocha Latte;10-12;Orinoquía;4
10630;M;67;20240225;90000;Latte;14-16;Andina;4
10631;M;49;20231129;62000;Chocolate Helado;14-16;Caribe;5
10632;M;36;20240528;43000;Latte Macchiato;10-12;Insular;2
10633;F;53;20230818;79000;Chocolate Helado;10-12;Pacífica;1
10634;M;38;20230905;44000;Espresso Macchiato;18-20;Caribe;4
10635;F;88;20230930;86000;Espresso Sencillo;14-16;Caribe;2
10636;F;65;20210906;103000;Espresso Macchiato;12-14;Andina;4
10637;M;71;20230908;83000;Chocolate Helado;20-22;Pacífica;2
10638;M;44;20220111;72000;Mocha Blanco Latte;14-16;Pacífica;3
10639;M;48;20230503;36000;Espresso Doble;16-18;Caribe;5
10640;F;49;20230515;113000;Espresso Doble;14-16;Insular;1
10641;M;63;20210130;49000;Cappuccino;14-16;Insular;3
10642;M;69;20230719;61000;Latte;14-16;Pacífica;3
10643;M;59;20230422;106000;Café del día;12-14;Orinoquía;3
10644;M;72;20230209;55000;Flat White;16-18;Insular;3
10645;M;69;20240317;45000;Espresso Macchiato;14-16;Andina;3
10646;M;65;20240521;63000;Flat White;14-16;Caribe;5
10647;F;58;20231126;95000;Café del día;18-20;Caribe;2
10648;F;46;20231227;84000;Flat White;18-20;Pacífica;4
10649;;18;20230804;65400;Flat White;20-22;Andina;5
10650;F;30;20230321;45000;Caramel Macchiato;12-14;Orinoquía;4
10651;;18;20230411;65400;Espresso Sencillo;18-20;Caribe;4
10652;M;53;20210825;103000;Cappuccino;12-14;Andina;2
10653;M;61;20210905;74000;Espresso Macchiato;20-22;Orinoquía;1
10654;M;58;20220816;114000;Arequipe Latte;18-20;Insular;2
10655;;18;20220617;65400;Espresso Sencillo;14-16;Pacífica;1
10656;M;65;20240617;96000;Flat White;18-20;Pacífica;2
10657;F;72;20240124;75000;Chocolate Blanco Helado;20-22;Insular;1
10658;;18;20220527;65400;Mocha Latte;10-12;Pacífica;5
10659;F;68;20211020;101000;Espresso Sencillo;10-12;Insular;1
10660;M;52;20231217;36000;Mocha Blanco Latte;16-18;Caribe;5
10661;F;63;20220719;44000;Chocolate Helado;14-16;Orinoquía;2
10662;M;76;20200121;34000;Flat White;12-14;Caribe;1
10663;F;57;20231212;80000;Mocha Latte;14-16;Orinoquía;4
10664;M;53;20230924;38000;Café del día;16-18;Andina;2
10665;M;55;20210119;57000;Chocolate Helado;12-14;Insular;3
10666;M;84;20231202;62000;Americano;20-22;Insular;1
10667;F;57;20231104;71000;Chocolate Blanco Helado;12-14;Pacífica;2
10668;M;62;20191124;45000;Caramel Macchiato;12-14;Caribe;2
10669;F;50;20211118;79000;Chocolate Helado;20-22;Caribe;3
10670;M;36;20231211;39000;Americano;18-20;Pacífica;4
10671;F;64;20231224;45000;Espresso Macchiato;16-18;Insular;4
10672;F;52;20221109;44000;Chocolate Blanco Helado;20-22;Orinoquía;5
10673;;18;20240522;65400;Chocolate Blanco;20-22;Orinoquía;4
10674;F;58;20230720;90000;Chocolate Caliente;12-14;Orinoquía;5
10675;F;65;20240617;72000;Chocolate Helado;12-14;Andina;4
10676;;18;20211118;65400;Mocha Blanco Latte;14-16;Pacífica;5
10677;F;53;20230915;94000;Espresso Macchiato;10-12;Insular;5
10678;M;19;20220508;51000;Chocolate Blanco Helado;20-22;Insular;5
10679;M;51;20240221;89000;Espresso Sencillo;12-14;Andina;2
10680;M;72;20220205;92000;Flat White;20-22;Insular;4
10681;M;62;20240527;66000;Flat White;12-14;Insular;5
10682;M;91;20210911;40000;Mocha Latte;12-14;Pacífica;4
10683;F;81;20231212;31000;Cappuccino;14-16;Insular;5
10684;F;48;20220728;119000;Espresso Sencillo;20-22;Orinoquía;4
10685;M;94;20230508;54000;Espresso Sencillo;12-14;Orinoquía;3
10686;M;36;20231031;40000;Arequipe Latte;16-18;Andina;1
10687;M;47;20240518;64000;Latte;12-14;Insular;3
10688;F;81;20230816;116000;Latte;20-22;Insular;1
10689;M;49;20210331;61000;Flat White;16-18;Orinoquía;5
10690;F;56;20240503;35000;Café del día;10-12;Andina;3
10691;M;52;20231129;45000;Cappuccino;20-22;Andina;4
10692;M;41;20220720;59000;Latte;20-22;Insular;3
10693;F;59;20220116;86000;Arequipe Latte;14-16;Caribe;1
10694;;18;20230918;65400;Espresso Macchiato;16-18;Insular;1
10695;M;51;20220107;98000;Espresso Doble;14-16;Andina;1
10696;F;48;20240303;100000;Chocolate Blanco Helado;14-16;Pacífica;4
10697;M;41;20230108;45000;Americano;16-18;Orinoquía;3
10698;F;18;20240311;68000;Cappuccino;12-14;Orinoquía;1
10699;F;45;20220708;32000;Espresso Sencillo;12-14;Insular;2
10700;M;58;20220402;79000;Latte Macchiato;18-20;Pacífica;2
10701;;18;20231128;65400;Cappuccino;14-16;Pacífica;2
10702;;18;20221010;65400;Chocolate Helado;16-18;Insular;2
10703;M;59;20220725;76000;Caramel Macchiato;18-20;Caribe;1
10704;F;52;20220525;78000;Latte;10-12;Pacífica;3
10705;M;52;20210808;67000;Arequipe Latte;10-12;Caribe;4
10706;F;21;20191223;37000;Caramel Macchiato;20-22;Insular;4
10707;M;42;20220606;47000;Mocha Latte;20-22;Orinoquía;4
10708;F;92;20221206;75000;Espresso Macchiato;12-14;Pacífica;1
10709;M;41;20200709;34000;Flat White;10-12;Pacífica;3
10710;F;39;20231125;80000;Espresso Doble;20-22;Orinoquía;1
10711;M;54;20230121;117000;Latte Macchiato;20-22;Pacífica;5
10712;F;80;20220121;43000;Caramel Macchiato;16-18;Insular;1
10713;M;44;20210903;56000;Espresso Doble;10-12;Pacífica;4
10714;M;43;20240216;33000;Chocolate Blanco Helado;12-14;Orinoquía;5
10715;F;57;20220314;77000;Flat White;20-22;Andina;5
10716;F;48;20230418;87000;Flat White;10-12;Orinoquía;3
10717;M;67;20210822;30000;Espresso Macchiato;18-20;Orinoquía;1
10718;M;61;20240220;92000;Chocolate Caliente;18-20;Orinoquía;5
10719;;18;20221205;65400;Latte;14-16;Caribe;2
10720;F;58;20221001;81000;Chocolate Helado;10-12;Orinoquía;3
10721;M;53;20230926;84000;Flat White;14-16;Caribe;2
10722;;18;20220507;65400;Arequipe Latte;16-18;Andina;2
10723;M;78;20200303;70000;Arequipe Latte;12-14;Orinoquía;4
10724;M;65;20220723;35000;Mocha Latte;16-18;Orinoquía;4
10725;F;66;20230215;110000;Chocolate Caliente;18-20;Pacífica;2
10726;F;71;20211113;64000;Chocolate Helado;16-18;Caribe;2
10727;;18;20211123;65400;Latte;16-18;Caribe;3
10728;F;48;20220418;114000;Cappuccino;12-14;Pacífica;1
10729;F;53;20231201;75000;Chocolate Caliente;18-20;Caribe;3
10730;F;51;20231007;112000;Mocha Blanco Latte;16-18;Pacífica;4
10731;F;59;20230821;51000;Americano;18-20;Pacífica;1
10732;M;31;20240430;53000;Espresso Sencillo;10-12;Orinoquía;1
10733;F;57;20231228;82000;Chocolate Blanco Helado;10-12;Caribe;4
10734;F;59;20220327;55000;Espresso Sencillo;16-18;Caribe;5
10735;M;54;20221028;55000;Espresso Macchiato;12-14;Insular;2
10736;M;43;20221215;56000;Chocolate Blanco Helado;16-18;Orinoquía;5
10737;;18;20220201;65400;Latte Macchiato;14-16;Orinoquía;1
10738;M;58;20231204;39000;Flat White;14-16;Orinoquía;2
10739;M;22;20230104;58000;Mocha Blanco Latte;18-20;Andina;2
10740;F;57;20210927;87000;Latte;20-22;Andina;3
10741;M;21;20220213;39000;Chocolate Caliente;16-18;Orinoquía;5
10742;F;33;20220916;64000;Chocolate Blanco;18-20;Andina;3
10743;F;68;20220124;108000;Chocolate Blanco Helado;16-18;Caribe;3
10744;M;20;20231205;32000;Caramel Macchiato;18-20;Insular;3
10745;M;20;20200513;30000;Espresso Sencillo;16-18;Andina;4
10746;F;64;20210829;93000;Chocolate Blanco;16-18;Caribe;4
10747;M;64;20231219;50000;Americano;16-18;Andina;5
10748;M;68;20231121;97000;Café del día;18-20;Andina;2
10749;M;38;20240626;52000;Arequipe Latte;14-16;Caribe;2
10750;F;49;20231120;70000;Latte Macchiato;18-20;Orinoquía;4
10751;;18;20210801;65400;Chocolate Helado;16-18;Andina;4
10752;;18;20230627;65400;Mocha Blanco Latte;18-20;Insular;4
10753;;18;20220525;65400;Chocolate Blanco Helado;10-12;Caribe;1
10754;M;33;20210822;56000;Chocolate Blanco;20-22;Orinoquía;2
10755;F;80;20210927;62000;Chocolate Blanco Helado;10-12;Andina;3
10756;M;31;20240208;58000;Mocha Latte;18-20;Orinoquía;3
10757;M;20;20230411;48000;Arequipe Latte;14-16;Insular;2
10758;;18;20230720;65400;Espresso Sencillo;10-12;Andina;1
10759;F;68;20220118;77000;Chocolate Caliente;20-22;Caribe;3
10760;F;32;20231010;71000;Americano;14-16;Pacífica;5
10761;M;52;20231228;50000;Flat White;16-18;Orinoquía;3
10762;M;50;20220314;81000;Mocha Latte;20-22;Caribe;3
10763;F;71;20231128;89000;Cappuccino;14-16;Andina;1
10764;M;41;20210407;70000;Café del día;20-22;Orinoquía;4
10765;M;56;20211118;72000;Chocolate Caliente;20-22;Andina;5
10766;F;57;20220313;60000;Latte;14-16;Caribe;2
10767;M;74;20231212;36000;Arequipe Latte;20-22;Caribe;2
10768;M;73;20240726;58000;Café del día;20-22;Andina;5
10769;F;59;20230603;54000;Latte Macchiato;20-22;Pacífica;3
10770;;18;20240207;65400;Caramel Macchiato;10-12;Pacífica;4
10771;;18;20220121;65400;Chocolate Blanco;18-20;Insular;5
10772;F;94;20240321;86000;Chocolate Blanco;14-16;Orinoquía;4
10773;;18;20230107;65400;Espresso Doble;14-16;Caribe;4
10774;M;28;20221218;64000;Arequipe Latte;18-20;Andina;5
10775;F;68;20230615;74000;Mocha Latte;12-14;Andina;3
10776;M;88;20210802;112000;Chocolate Blanco;20-22;Pacífica;4
10777;F;81;20220416;116000;Flat White;14-16;Caribe;3
10778;F;92;20240305;95000;Chocolate Caliente;14-16;Orinoquía;4
10779;M;59;20230820;55000;Americano;20-22;Orinoquía;2
10780;M;39;20210929;61000;Mocha Blanco Latte;18-20;Orinoquía;5
10781;F;36;20230521;71000;Latte Macchiato;16-18;Orinoquía;1
10782;O;51;20240506;55000;Latte Macchiato;14-16;Pacífica;5
10783;M;36;20231214;36000;Latte;12-14;Orinoquía;5
10784;M;42;20231125;46000;Café del día;10-12;Pacífica;2
10785;F;47;20230810;53000;Flat White;14-16;Andina;4
10786;F;58;20211007;62000;Chocolate Helado;16-18;Orinoquía;5
10787;M;34;20240107;31000;Arequipe Latte;16-18;Caribe;1
10788;M;23;20230817;44000;Flat White;10-12;Pacífica;5
10789;M;49;20230823;70000;Espresso Macchiato;10-12;Insular;4
10790;M;44;20220417;96000;Cappuccino;10-12;Pacífica;2
10791;F;38;20210218;69000;Café del día;10-12;Orinoquía;1
10792;F;66;20231108;77000;Latte Macchiato;12-14;Andina;3
10793;F;58;20220129;76000;Cappuccino;10-12;Andina;1
10794;M;73;20220625;46000;Chocolate Blanco Helado;10-12;Caribe;1
10795;M;56;20220224;72000;Espresso Macchiato;20-22;Pacífica;5
10796;M;38;20230801;67000;Chocolate Helado;20-22;Andina;2
10797;M;21;20240207;48000;Latte Macchiato;18-20;Pacífica;4
10798;F;34;20221230;68000;Latte;14-16;Andina;3
10799;M;57;20231026;42000;Cappuccino;18-20;Pacífica;3
10800;M;26;20240703;35000;Espresso Macchiato;18-20;Andina;1
10801;M;34;20240527;38000;Chocolate Blanco;12-14;Andina;1
10802;;18;20220531;65400;Latte;10-12;Orinoquía;2
10803;F;62;20240212;96000;Cappuccino;16-18;Andina;3
10804;F;65;20240621;92000;Chocolate Blanco Helado;20-22;Pacífica;5
10805;M;68;20240507;34000;Arequipe Latte;16-18;Caribe;3
10806;F;57;20231113;52000;Flat White;10-12;Pacífica;3
10807;M;23;20200519;37000;Cappuccino;16-18;Caribe;2
10808;M;21;20210627;34000;Mocha Latte;16-18;Insular;4
10809;M;80;20231205;81000;Latte;12-14;Pacífica;1
10810;M;34;20231023;46000;Chocolate Blanco;16-18;Insular;1
10811;F;32;20231206;71000;Espresso Doble;14-16;Pacífica;2
10812;M;64;20230928;88000;Chocolate Caliente;14-16;Insular;2
10813;M;49;20220412;84000;Espresso Doble;20-22;Insular;5
10814;F;37;20240604;43000;Flat White;18-20;Caribe;2
10815;M;29;20231112;43000;Americano;10-12;Caribe;2
10816;;18;20231022;65400;Chocolate Helado;12-14;Caribe;5
10817;M;30;20220731;64000;Flat White;16-18;Orinoquía;2
10818;M;52;20220913;81000;Mocha Blanco Latte;14-16;Caribe;1
10819;F;68;20240101;78000;Chocolate Blanco Helado;12-14;Caribe;2
10820;M;52;20221210;106000;Mocha Latte;20-22;Andina;4
10821;F;37;20240324;33000;Chocolate Helado;14-16;Andina;4
10822;F;72;20200426;57000;Latte Macchiato;18-20;Caribe;2
10823;;18;20240426;65400;Chocolate Blanco Helado;12-14;Orinoquía;5
10824;F;54;20220211;37000;Cappuccino;14-16;Andina;5
10825;M;72;20210111;83000;Latte Macchiato;14-16;Insular;4
10826;M;50;20231004;56000;Cappuccino;16-18;Andina;5
10827;F;67;20211019;75000;Cappuccino;10-12;Andina;1
10828;M;36;20231211;38000;Espresso Sencillo;20-22;Pacífica;1
10829;M;35;20240125;37000;Chocolate Caliente;12-14;Andina;5
10830;;18;20230326;65400;Chocolate Helado;20-22;Andina;4
10831;M;36;20210312;42000;Chocolate Blanco;12-14;Pacífica;2
10832;F;59;20211127;100000;Chocolate Helado;14-16;Pacífica;2
10833;F;42;20231125;61000;Chocolate Helado;16-18;Caribe;5
10834;M;65;20240215;52000;Chocolate Caliente;20-22;Andina;1
10835;F;59;20221206;79000;Espresso Doble;16-18;Caribe;5
10836;M;60;20221203;68000;Chocolate Blanco;20-22;Andina;4
10837;M;57;20240424;71000;Latte Macchiato;12-14;Orinoquía;4
10838;F;65;20240110;81000;Espresso Sencillo;12-14;Caribe;3
10839;F;68;20230928;76000;Chocolate Caliente;18-20;Insular;1
10840;M;50;20240314;67000;Espresso Doble;20-22;Andina;3
10841;F;59;20230316;104000;Espresso Sencillo;14-16;Insular;1
10842;F;48;20240102;76000;Chocolate Blanco Helado;10-12;Insular;5
10843;F;80;20240210;118000;Mocha Blanco Latte;20-22;Andina;4
10844;;18;20220529;65400;Chocolate Helado;12-14;Caribe;5
10845;M;47;20220513;43000;Arequipe Latte;20-22;Pacífica;2
10846;M;61;20240620;65000;Mocha Blanco Latte;20-22;Caribe;3
10847;;18;20230929;65400;Café del día;16-18;Caribe;5
10848;M;74;20230923;55000;Mocha Blanco Latte;10-12;Pacífica;2
10849;F;38;20210516;35000;Arequipe Latte;10-12;Orinoquía;1
10850;;18;20220115;65400;Cappuccino;10-12;Pacífica;4
10851;F;43;20230811;74000;Latte;18-20;Andina;2
10852;M;22;20240427;36000;Mocha Latte;14-16;Pacífica;1
10853;F;85;20240715;71000;Latte;16-18;Caribe;4
10854;M;36;20240717;42000;Arequipe Latte;20-22;Caribe;4
10855;M;47;20221123;60000;Chocolate Blanco Helado;14-16;Pacífica;5
10856;M;27;20240115;68000;Arequipe Latte;14-16;Insular;4
10857;;18;20211210;65400;Arequipe Latte;12-14;Andina;4
10858;M;63;20220324;116000;Chocolate Blanco;20-22;Caribe;1
10859;M;32;20200201;47000;Chocolate Blanco;16-18;Insular;5
10860;F;61;20220117;59000;Mocha Blanco Latte;10-12;Orinoquía;2
10861;F;28;20240327;62000;Café del día;18-20;Caribe;5
10862;M;48;20220821;80000;Espresso Sencillo;14-16;Pacífica;2
10863;F;53;20211209;52000;Espresso Doble;14-16;Pacífica;5
10864;M;21;20230730;50000;Caramel Macchiato;14-16;Caribe;2
10865;M;67;20240313;62000;Café del día;12-14;Orinoquía;1
10866;M;37;20221228;77000;Espresso Sencillo;20-22;Andina;3
10867;M;60;20230822;91000;Chocolate Blanco;12-14;Orinoquía;3
10868;;18;20240113;65400;Café del día;18-20;Pacífica;4
10869;M;53;20230825;38000;Caramel Macchiato;16-18;Caribe;4
10870;M;45;20230830;89000;Cappuccino;16-18;Andina;3
10871;F;62;20200123;69000;Espresso Sencillo;16-18;Pacífica;4
10872;F;62;20240505;99000;Cappuccino;16-18;Orinoquía;1
10873;M;59;20231003;84000;Chocolate Helado;16-18;Pacífica;4
10874;M;79;20230919;60000;Chocolate Helado;14-16;Andina;2
10875;F;45;20220430;51000;Flat White;18-20;Andina;4
10876;F;79;20240511;41000;Latte Macchiato;12-14;Insular;4
10877;F;82;20230819;115000;Arequipe Latte;20-22;Insular;3
10878;F;66;20211210;93000;Mocha Blanco Latte;18-20;Insular;3
10879;M;47;20220307;47000;Flat White;16-18;Caribe;2
10880;M;32;20211015;75000;Caramel Macchiato;12-14;Insular;3
10881;M;22;20240516;56000;Caramel Macchiato;18-20;Caribe;5
10882;F;50;20231122;66000;Flat White;10-12;Caribe;3
10883;M;25;20240720;63000;Espresso Sencillo;20-22;Pacífica;2
10884;F;70;20231027;86000;Chocolate Blanco Helado;16-18;Caribe;3
10885;F;51;20231030;51000;Espresso Macchiato;10-12;Pacífica;4
10886;M;37;20240123;63000;Café del día;18-20;Orinoquía;5
10887;F;55;20231123;74000;Chocolate Caliente;10-12;Insular;4
10888;;18;20221123;65400;Caramel Macchiato;14-16;Caribe;1
10889;M;73;20231005;117000;Café del día;20-22;Orinoquía;5
10890;F;89;20211126;87000;Espresso Sencillo;18-20;Pacífica;2
10891;F;32;20230402;31000;Arequipe Latte;14-16;Andina;5
10892;F;45;20231123;88000;Americano;18-20;Pacífica;5
10893;F;58;20231112;87000;Arequipe Latte;10-12;Pacífica;5
10894;M;45;20221229;56000;Caramel Macchiato;10-12;Pacífica;2
10895;F;78;20230815;81000;Chocolate Helado;12-14;Andina;4
10896;M;79;20231006;76000;Espresso Sencillo;20-22;Andina;4
10897;F;41;20230810;79000;Chocolate Blanco;12-14;Caribe;5
10898;M;73;20231019;116000;Cappuccino;12-14;Caribe;5
10899;M;71;20231127;55000;Latte Macchiato;16-18;Insular;1
10900;F;72;20220410;118000;Espresso Doble;10-12;Pacífica;1
10901;M;64;20221018;37000;Americano;16-18;Pacífica;4
10902;M;65;20240108;70000;Cappuccino;10-12;Pacífica;1
10903;F;48;20210730;61000;Latte;18-20;Pacífica;1
10904;M;71;20221108;76000;Mocha Blanco Latte;16-18;Insular;1
10905;;18;20240312;65400;Espresso Sencillo;10-12;Insular;4
10906;M;28;20200128;66000;Espresso Macchiato;12-14;Insular;3
10907;M;41;20230831;94000;Espresso Doble;18-20;Caribe;3
10908;F;82;20230323;87000;Arequipe Latte;14-16;Pacífica;1
10909;;18;20231017;65400;Espresso Macchiato;12-14;Andina;1
10910;F;34;20231116;70000;Chocolate Helado;10-12;Andina;3
